date,cost,mult,pnl
2026-03-18,146,0.0,-146
2026-03-18,65,20.2,1257
2026-03-18,120,0.0,-120
2026-03-18,102,21.5,2099
2026-03-18,108,1.2,18
2026-03-18,159,0.0,-159
2026-03-18,146,0.0,-146
2026-03-19,80,1.5,43
2026-03-19,130,0.0,-130
2026-03-19,194,0.0,-194
2026-03-19,116,0.0,-116
2026-03-19,90,26.9,2324
2026-03-19,76,0.0,-76
2026-03-19,144,0.0,-144
2026-03-19,164,13.3,2009
2026-03-19,133,0.0,-133
2026-03-19,102,21.7,2100
2026-03-19,83,1.5,42
2026-03-19,156,0.0,-156
2026-03-19,187,0.0,-187
2026-03-20,42,0.0,-42
2026-03-20,126,0.0,-126
2026-03-20,165,0.0,-165
2026-03-20,114,0.0,-114
2026-03-20,67,36.0,2335
2026-03-20,27,0.0,-27
2026-03-20,150,0.7,-44
2026-03-20,65,25.7,1609
2026-03-20,140,4.7,522
2026-03-20,107,22.1,2259
2026-03-20,79,0.9,-10
2026-03-20,146,0.0,-146
2026-03-20,190,0.0,-190
2026-03-22,4,0.0,-4
2026-03-22,8,0.0,-8
2026-03-22,21,0.0,-21
2026-03-23,34,3.6,89
2026-03-23,133,0.0,-133
2026-03-23,151,0.0,-151
2026-03-23,98,0.0,-98
2026-03-23,69,41.3,2769
2026-03-23,25,0.2,-20
2026-03-23,141,4.8,531
2026-03-23,84,20.8,1664
2026-03-23,142,0.0,-142
2026-03-23,94,23.5,2108
2026-03-23,107,9.2,869
2026-03-23,149,0.0,-149
2026-03-23,191,0.0,-191
2026-03-24,29,4.3,94
2026-03-24,104,0.0,-104
2026-03-24,179,0.7,-50
2026-03-24,116,0.0,-116
2026-03-24,87,0.0,-87
2026-03-24,84,33.7,2754
2026-03-24,63,3.5,155
2026-03-24,125,12.2,1397
2026-03-24,199,13.1,2399
2026-03-24,129,0.0,-129
2026-03-24,118,25.8,2933
2026-03-24,48,25.0,1141
2026-03-24,162,0.0,-162
2026-03-24,188,0.0,-188
2026-03-25,164,5.9,809
2026-03-25,128,0.0,-128
2026-03-25,133,0.0,-133
2026-03-25,126,0.0,-126
2026-03-25,80,0.0,-80
2026-03-25,108,14.4,1455
2026-03-25,67,0.7,-19
2026-03-25,110,13.8,1412
2026-03-25,167,13.0,2005
2026-03-25,129,0.0,-129
2026-03-25,110,27.8,2942
2026-03-25,47,29.5,1353
2026-03-25,192,0.0,-192
2026-03-25,187,0.0,-187
2026-03-26,39,14.0,509
2026-03-26,122,0.0,-122
2026-03-26,154,3.6,400
2026-03-26,123,0.0,-123
2026-03-26,79,0.0,-79
2026-03-26,92,33.0,2958
2026-03-26,55,4.0,163
2026-03-26,133,37.1,4789
2026-03-26,58,30.1,1690
2026-03-26,116,0.0,-116
2026-03-26,94,36.9,3382
2026-03-26,39,51.7,1998
2026-03-26,178,0.0,-178
2026-03-26,146,0.0,-146
2026-03-31,134,10.4,1264
2026-03-31,114,0.0,-114
2026-03-31,110,12.7,1294
2026-03-31,100,0.0,-100
2026-03-31,82,0.0,-82
2026-03-31,84,41.3,3392
